web-scraper-order,web-scraper-start-url,products,products-href,product,desc,image-src,price,Detai1lDeal,Detail2Deal,Deal,save
"1660456439-436","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Biozet Attack Regular Liquid 2L on special","https://shop.coles.com.au/a/national/product/biozet-attack-front-top-loader-liquid","Biozet Attack","Regular Liquid","/wcsstore/Coles-CAS/images/2/6/8/2688214.jpg","$
									11
									.00","$5.50 per 1L","2L","Add
			
			Add
			1
			Biozet Attack Regular Liquid 2L on special
			for
			$11.00
			to the trolley.","save
										$9.00"
"1660456401-420","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Vaseline Intensive Care Deep Restore Body Lotion 750mL on special half price","https://shop.coles.com.au/a/national/product/vaseline-intensive-care-dry-skin-moisturiser","Vaseline","Intensive Care Deep Restore Body Lotion","/wcsstore/Coles-CAS/images/9/4/9/9494759.jpg","$
									7
									.25","$0.97 per 100mL","750mL","Add
			
			Add
			1
			Vaseline Intensive Care Deep Restore Body Lotion 750mL on special half price
			for
			$7.25
			to the trolley.","save
										$7.05"
"1660456406-422","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Palmolive Naturals Active Nourishment Shampoo 350mL on special half price","https://shop.coles.com.au/a/national/product/palmolive-naturals-active-nourishment-shampoo-4708710p","Palmolive","Naturals Active Nourishment Shampoo","/wcsstore/Coles-CAS/images/4/7/0/4708710.jpg","$
									2
									.25","$0.64 per 100mL","350mL","null","null"
"1660456447-439","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Smith's Crinkle Cut Salt And Vinegar Potato Chips 170g on special half price","https://shop.coles.com.au/a/national/product/smiths-crinkle-cut-salt-vinegar-potato-chips","Smith's","Crinkle Cut Salt And Vinegar Potato Chips","/wcsstore/Coles-CAS/images/2/3/5/2358286.jpg","$
									2
									.15","$1.26 per 100G","170g","Add
			
			Add
			1
			Smith's Crinkle Cut Salt And Vinegar Potato Chips 170g on special half price
			for
			$2.15
			to the trolley.","save
										$1.48"
"1660456371-408","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Finish Dishwasher Cleaner Tablets 3 pack on special","https://shop.coles.com.au/a/national/product/finish-in-wash-dishwasher-cleaner","Finish","Dishwasher Cleaner Tablets","/wcsstore/Coles-CAS/images/3/5/1/3514682.jpg","$
									5
									.00","$1.67 per 1Ea","3 pack","Add
			
			Add
			1
			Finish Dishwasher Cleaner Tablets 3 pack on special
			for
			$5.00
			to the trolley.","save
										$5.00"
"1660456428-431","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Sukin Foaming Facial Cleanser Pump 125mL on special half price","https://shop.coles.com.au/a/national/product/sukin-foaming-facial-cleanser-pump","Sukin","Foaming Facial Cleanser Pump","/wcsstore/Coles-CAS/images/2/9/9/2994287.jpg","$
									7
									.50","$6.00 per 100mL","125mL","Add
			
			Add
			1
			Sukin Foaming Facial Cleanser Pump 125mL on special half price
			for
			$7.50
			to the trolley.","save
										$7.50"
"1660456358-403","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Hong Kong Dim Sim Pork And Chive Dumplings 300g on special","https://shop.coles.com.au/a/national/product/pork-chive-dumplings","Hong Kong","Dim Sim Pork And Chive Dumplings","/wcsstore/Coles-CAS/images/4/4/0/4406663.jpg","$
									3
									.75","$1.25 per 100G","300g","Add
			
			Add
			1
			Hong Kong Dim Sim Pork And Chive Dumplings 300g on special
			for
			$3.75
			to the trolley.","save
										$3.75"
"1660456398-419","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Oreo Original Grab N Go Cookies 256g on special half price","https://shop.coles.com.au/a/national/product/kraft-original-oreo-cookies-grab-go-pack","Oreo","Original Grab N Go Cookies","/wcsstore/Coles-CAS/images/1/8/4/1843832.jpg","$
									1
									.97","$0.77 per 100G","256g","Add
			
			Add
			1
			Oreo Original Grab N Go Cookies 256g on special half price
			for
			$1.97
			to the trolley.","save
										$1.98"
"1660456356-402","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Rimmel Kind & Free Foundation Rose Vanilla 30mL on special half price","https://shop.coles.com.au/a/national/product/foundation-rose-vanilla","Rimmel","Kind & Free Foundation Rose Vanilla","/wcsstore/Coles-CAS/images/4/8/1/4819619.jpg","$
									10
									.00","$3.33 per 10mL","30mL","Add
			
			Add
			1
			Rimmel Kind & Free Foundation Rose Vanilla 30mL on special half price
			for
			$10.00
			to the trolley.","save
										$10.00"
"1660456413-425","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Schwarzkopf Extra Care Marrakesh Oil & Coconut Replenishing Shampoo 950mL on special half price","https://shop.coles.com.au/a/national/product/marrakesh-shampo","Schwarzkopf","Extra Care Marrakesh Oil & Coconut Replenishing Shampoo","/wcsstore/Coles-CAS/images/4/4/5/4453801.jpg","$
									9
									.50","$1.00 per 100mL","950mL","Add
			
			Add
			1
			Schwarzkopf Extra Care Marrakesh Oil & Coconut Replenishing Shampoo 950mL on special half price
			for
			$9.50
			to the trolley.","save
										$9.50"
"1660456462-445","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Poppin Triple Butter Microwave Popcorn 400g on special half price","https://shop.coles.com.au/a/national/product/poppin-microwave-popcorn-triple-butter","Poppin","Triple Butter Microwave Popcorn","/wcsstore/Coles-CAS/images/8/2/1/8213796.jpg","$
									3
									.07","$0.77 per 100G","400g","Add
			
			Add
			1
			Poppin Triple Butter Microwave Popcorn 400g on special half price
			for
			$3.07
			to the trolley.","save
										$3.23"
"1660456457-443","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Bulla Crunch Multi Flavoured Ice Cream Sticks 8 pack 631mL on special","https://shop.coles.com.au/a/national/product/bulla-crunch-ice-cream-variety-pack","Bulla","Crunch Multi Flavoured Ice Cream Sticks 8 pack","/wcsstore/Coles-CAS/images/5/9/7/5974719.jpg","$
									3
									.75","$0.59 per 100mL","631mL","Add
			
			Add
			1
			Bulla Crunch Multi Flavoured Ice Cream Sticks 8 pack 631mL on special
			for
			$3.75
			to the trolley.","save
										$3.75"
"1660456452-441","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Morning Fresh Lemon Dishwashing Liquid 900mL on special","https://shop.coles.com.au/a/national/product/morning-fresh-dishwashing-liquid-super-concentrate-lemon-fresh","Morning Fresh","Lemon Dishwashing Liquid","/wcsstore/Coles-CAS/images/9/7/3/9735935.jpg","$
									4
									.50","$0.50 per 100mL","900mL","Add
			
			Add
			1
			Morning Fresh Lemon Dishwashing Liquid 900mL on special
			for
			$4.50
			to the trolley.","save
										$4.50"
"1660456417-427","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Cold Power Advanced Clean Laundry Liquid 2L on special","https://shop.coles.com.au/a/national/product/cold-power-advanced-clean-laundry-liquid","Cold Power","Advanced Clean Laundry Liquid","/wcsstore/Coles-CAS/images/3/7/7/3774581.jpg","$
									9
									.75","$4.88 per 1L","2L","Add
			
			Add
			1
			Cold Power Advanced Clean Laundry Liquid 2L on special
			for
			$9.75
			to the trolley.","save
										$9.75"
"1660456442-437","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","The Spice Tailor Classic Butter Chicken 300g on special","https://shop.coles.com.au/a/national/product/the-spice-tailor-classic-butter-chicken-curry-sauce","The Spice Tailor","Classic Butter Chicken","/wcsstore/Coles-CAS/images/2/3/6/2361190.jpg","$
									2
									.90","$0.97 per 100G","300g","Add
			
			Add
			1
			The Spice Tailor Classic Butter Chicken 300g on special
			for
			$2.90
			to the trolley.","save
										$2.90"
"1660456376-410","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Air Wick Essential Oils Candle Vanilla & Soft Cashmere 1 pack on special","https://shop.coles.com.au/a/national/product/air-wick-essential-oils-candle-vanilla-bean","Air Wick","Essential Oils Candle Vanilla & Soft Cashmere","/wcsstore/Coles-CAS/images/3/4/1/3413415.jpg","$
									3
									.00","$3.00 per 1Ea","1 pack","Add
			
			Add
			1
			Air Wick Essential Oils Candle Vanilla & Soft Cashmere 1 pack on special
			for
			$3.00
			to the trolley.","save
										$3.00"
"1660456415-426","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Sistema Klip It Plus Rectangle Container 1L  on special half price","https://shop.coles.com.au/a/national/product/sistema-klip-it-plus-container-3794137p","Sistema","Klip It Plus Rectangle Container 1L","/wcsstore/Coles-CAS/images/3/7/9/3794137.jpg","$
									2
									.75","$2.75 per 1Ea","null","Add
			
			Add
			1
			Sistema Klip It Plus Rectangle Container 1L  on special half price
			for
			$2.75
			to the trolley.","save
										$2.75"
"1660456374-409","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Green & Black's Organic 85% Dark Chocolate Block 90g on special half price","https://shop.coles.com.au/a/national/product/green-blacks-block-choc-organic-dark-85","Green & Black's","Organic 85% Dark Chocolate Block","/wcsstore/Coles-CAS/images/3/5/0/3506764.jpg","$
									2
									.25","$2.50 per 100G","90g","Add
			
			Add
			1
			Green & Black's Organic 85% Dark Chocolate Block 90g on special half price
			for
			$2.25
			to the trolley.","save
										$2.25"
"1660456422-429","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Sukin Arkie Hand Wash 500mL on special half price","https://shop.coles.com.au/a/national/product/sukin-arkie-hand-wash","Sukin","Arkie Hand Wash","/wcsstore/Coles-CAS/images/3/7/1/3714375.jpg","$
									4
									.97","$0.99 per 100mL","500mL","Add
			
			Add
			1
			Sukin Arkie Hand Wash 500mL on special half price
			for
			$4.97
			to the trolley.","null"
"1660456459-444","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Red Island Extra Virgin Olive Oil 1L on special","https://shop.coles.com.au/a/national/product/red-island-extra-virgin-olive-oil","Red Island","Extra Virgin Olive Oil","/wcsstore/Coles-CAS/images/6/5/7/6571900.jpg","$
									9
									.00","$0.90 per 100mL","1L","Add
			
			Add
			1
			Red Island Extra Virgin Olive Oil 1L on special
			for
			$9.00
			to the trolley.","save
										$9.00"
"1660456379-411","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Sukin Natural Deodorant 125mL on special half price","https://shop.coles.com.au/a/national/product/sukin-natural-deodorant-3365028p","Sukin","Natural Deodorant","/wcsstore/Coles-CAS/images/3/3/6/3365028.jpg","$
									4
									.00","$3.20 per 100mL","125mL","Add
			
			Add
			1
			Sukin Natural Deodorant 125mL on special half price
			for
			$4.00
			to the trolley.","save
										$4.00"
"1660456384-413","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Toni & Guy Purple Shampoo 250mL on special half price","https://shop.coles.com.au/a/national/product/toni-guy-shampoo-purple","Toni & Guy","Purple Shampoo","/wcsstore/Coles-CAS/images/3/1/5/3157596.jpg","$
									9
									.50","$3.80 per 100mL","250mL","Add
			
			Add
			1
			Toni & Guy Purple Shampoo 250mL on special half price
			for
			$9.50
			to the trolley.","save
										$9.50"
"1660456435-434","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Nice & Natural Salted Caramel Protein Nut Bars With 3 Superseeds 5 Pack 165g on special half price","https://shop.coles.com.au/a/national/product/nice-natural-protein-nut-bars%3Acaramel-sea-salt","Nice & Natural","Salted Caramel Protein Nut Bars With 3 Superseeds 5 Pack","/wcsstore/Coles-CAS/images/2/7/9/2795575.jpg","$
									2
									.85","$1.73 per 100G","165g","Add
			
			Add
			1
			Nice & Natural Salted Caramel Protein Nut Bars With 3 Superseeds 5 Pack 165g on special half price
			for
			$2.85
			to the trolley.","save
										$2.90"
"1660456450-440","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Sanitarium Weet Bix Breakfast Cereal 575g on special","https://shop.coles.com.au/a/national/product/sanitarium-weet-bix-2001784p","Sanitarium","Weet Bix Breakfast Cereal","/wcsstore/Coles-CAS/images/2/0/0/2001784.jpg","$
									2
									.10","$0.37 per 100G","575g","Add
			
			Add
			1
			Sanitarium Weet Bix Breakfast Cereal 575g on special
			for
			$2.10
			to the trolley.","save
										$2.10"
"1660456368-407","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Cuddly Wild Rose Fabric Conditioner 850mL on special","https://shop.coles.com.au/a/national/product/cuddly-fabric-conditioner-wild-rose","Cuddly","Wild Rose Fabric Conditioner","/wcsstore/Coles-CAS/images/3/7/3/3738792.jpg","$
									5
									.00","$5.88 per 1L","850mL","Add
			
			Add
			1
			Cuddly Wild Rose Fabric Conditioner 850mL on special
			for
			$5.00
			to the trolley.","save
										$5.00"
"1660456386-414","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Naturopathica Fat Blaster Less Sugar Chocolate Shake 430g on special","https://shop.coles.com.au/a/national/product/naturopathica-fat-blaster-less-sugar-choc-shake","Naturopathica","Fat Blaster Less Sugar Chocolate Shake","/wcsstore/Coles-CAS/images/3/1/3/3139186.jpg","$
									11
									.00","$2.56 per 100G","430g","Add
			
			Add
			1
			Naturopathica Fat Blaster Less Sugar Chocolate Shake 430g on special
			for
			$11.00
			to the trolley.","save
										$11.00"
"1660456420-428","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Finish Quantum Ultimate Pro Lemon Dishwash Tablets 32 pack on special","https://shop.coles.com.au/a/national/product/finish-dishwash-quantum-ultimate-pro-lemon-3679150p","Finish","Quantum Ultimate Pro Lemon Dishwash Tablets","/wcsstore/Coles-CAS/images/3/6/7/3679150.jpg","$
									18
									.00","$0.56 per 1Ea","32 pack","Add
			
			Add
			1
			Finish Quantum Ultimate Pro Lemon Dishwash Tablets 32 pack on special
			for
			$18.00
			to the trolley.","save
										$18.00"
"1660456391-416","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Harpic Fresh Power Toilet Cleaner Tropical Blossom 700mL on special","https://shop.coles.com.au/a/national/product/harpic-fresh-power-toilet-cleaner-tropical-blossom","Harpic","Fresh Power Toilet Cleaner Tropical Blossom","/wcsstore/Coles-CAS/images/3/0/3/3035067.jpg","$
									3
									.00","$0.43 per 100mL","700mL","Add
			
			Add
			1
			Harpic Fresh Power Toilet Cleaner Tropical Blossom 700mL on special
			for
			$3.00
			to the trolley.","save
										$2.00"
"1660456430-432","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Mission Deli Style White Corn Strips 500g on special","https://shop.coles.com.au/a/national/product/mission-deli-style-white-strip-corn-chips","Mission","Deli Style White Corn Strips","/wcsstore/Coles-CAS/images/2/9/2/2921830.jpg","$
									3
									.00","$0.60 per 100G","500g","Add
			
			Add
			1
			Mission Deli Style White Corn Strips 500g on special
			for
			$3.00
			to the trolley.","save
										$3.00"
"1660456396-418","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Coco Earth Premium Liquid Coconut Oil 500mL on special half price","https://shop.coles.com.au/a/national/product/cocoearth-premium-liquid-coconut-oil","Coco Earth","Premium Liquid Coconut Oil","/wcsstore/Coles-CAS/images/2/7/8/2789448.jpg","$
									7
									.25","$1.45 per 100mL","500mL","Add
			
			Add
			1
			Coco Earth Premium Liquid Coconut Oil 500mL on special half price
			for
			$7.25
			to the trolley.","save
										$7.25"
"1660456455-442","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Sunrice Jasmine Fragrant Rice 5kg on special half price","https://shop.coles.com.au/a/national/product/sunrice-thai-hom-mali-jasmine-white-rice","Sunrice","Jasmine Fragrant Rice","/wcsstore/Coles-CAS/images/4/3/6/4363786.jpg","$
									12
									.00","$0.24 per 100G","5kg","Add
			
			Add
			1
			Sunrice Jasmine Fragrant Rice 5kg on special half price
			for
			$12.00
			to the trolley.","save
										$12.00"
